Postal Code,Service Connections
78613,86.00
78617,3248.00
78652,1066.00
78653,838.00
78660,2624.00
78681,5.00
78701,1245.00
78702,7885.00
78703,6835.00
78704,11629.00
78705,2852.00
78705,1797.00
78710,1.00
78712,29.00
78714,1.00
78717,5897.00
78719,110.00
78721,3691.00
78722,2389.00
78723,9309.00
78724,4267.00
78725,904.00
78726,2502.00
78727,7152.00
78728,1696.00
78729,3856.00
78730,1292.00
78731,8276.00
78732,13.00
78735,3036.00
78736,1517.00
78737,264.00
78739,5376.00
78741,5159.00
78742,149.00
78744,10958.00
78745,17625.00
78746,4345.00
78747,5310.00
78748,14613.00
78749,10460.00
78750,8081.00
78751,4431.00
78752,3430.00
78753,8585.00
78754,5266.00
78755,1.00
78756,2974.00
78757,8523.00
78758,9057.00
78759,9970.00
78766,1.00
