ZIP Code,Land Area (Sq. Miles)
78610,92.00
78613,28.00
78617,69.00
78641,126.00
78652,17.00
78653,105.00
78660,45.00
78664,17.00
78681,22.00
78701,2.00
78702,5.00
78703,6.00
78704,9.00
78705,2.00
78712,0.00
78717,13.00
78719,19.00
78721,4.00
78722,2.00
78723,7.00
78724,24.00
78725,18.00
78726,11.00
78727,9.00
78728,8.00
78729,9.00
78730,14.00
78731,9.00
78732,13.00
78733,11.00
78734,20.00
78735,21.00
78736,29.00
78737,38.00
78738,17.00
78739,11.00
78741,8.00
78742,6.00
78744,21.00
78745,13.00
78746,22.00
78747,24.00
78748,13.00
78749,10.00
78750,13.00
78751,2.00
78752,3.00
78753,11.00
78754,13.00
78756,2.00
78757,5.00
78758,9.00
78759,14.00
